cpus=12
 template_target-851439 [006] ...1. 1990798.410884: funcgraph_entry:        0.753 us   |  mutex_unlock();
 template_target-851439 [006] ...1. 1990798.411214: funcgraph_entry:        0.193 us   |  lock_vma_under_rcu();
 template_target-851439 [006] ...1. 1990798.411214: funcgraph_entry:        2.944 us   |  handle_mm_fault();
 template_target-851439 [006] d..1. 1990798.411217: funcgraph_entry:        0.100 us   |  fpregs_assert_state_consistent();
 template_target-851439 [006] ...1. 1990798.411218: funcgraph_entry:        0.250 us   |  __x64_sys_arch_prctl();
 template_target-851439 [006] d..1. 1990798.411218: funcgraph_entry:        0.097 us   |  fpregs_assert_state_consistent();
 template_target-851439 [006] ...1. 1990798.411219: funcgraph_entry:        0.182 us   |  lock_vma_under_rcu();
 template_target-851439 [006] ...1. 1990798.411219: funcgraph_entry:        1.884 us   |  handle_mm_fault();
 template_target-851439 [006] d..1. 1990798.411221: funcgraph_entry:        0.097 us   |  fpregs_assert_state_consistent();
 template_target-851439 [006] ...1. 1990798.411222: funcgraph_entry:        0.189 us   |  lock_vma_under_rcu();
 template_target-851439 [006] ...1. 1990798.411222: funcgraph_entry:        1.590 us   |  handle_mm_fault();
 template_target-851439 [006] d..1. 1990798.411224: funcgraph_entry:        0.098 us   |  fpregs_assert_state_consistent();
 template_target-851439 [006] ...1. 1990798.411226: funcgraph_entry:        0.184 us   |  lock_vma_under_rcu();
 template_target-851439 [006] ...1. 1990798.411226: funcgraph_entry:        3.300 us   |  handle_mm_fault();
 template_target-851439 [006] d..1. 1990798.411229: funcgraph_entry:        0.097 us   |  fpregs_assert_state_consistent();
 template_target-851439 [006] ...1. 1990798.411230: funcgraph_entry:        0.212 us   |  lock_vma_under_rcu();
 template_target-851439 [006] ...1. 1990798.411231: funcgraph_entry:        1.888 us   |  handle_mm_fault();
 template_target-851439 [006] ...1. 1990798.411233: funcgraph_entry:        0.229 us   |  lock_mm_and_find_vma();
 template_target-851439 [006] ...1. 1990798.411233: funcgraph_entry:        2.359 us   |  handle_mm_fault();
 template_target-851439 [006] ...1. 1990798.411236: funcgraph_entry:        0.101 us   |  up_read();
 template_target-851439 [006] d..1. 1990798.411236: funcgraph_entry:        0.092 us   |  fpregs_assert_state_consistent();
 template_target-851439 [006] ...1. 1990798.411237: funcgraph_entry:        0.180 us   |  lock_vma_under_rcu();
 template_target-851439 [006] ...1. 1990798.411237: funcgraph_entry:        2.998 us   |  handle_mm_fault();
 template_target-851439 [006] d..1. 1990798.411240: funcgraph_entry:        0.098 us   |  fpregs_assert_state_consistent();
 template_target-851439 [006] ...1. 1990798.411241: funcgraph_entry:        0.195 us   |  lock_vma_under_rcu();
 template_target-851439 [006] ...1. 1990798.411242: funcgraph_entry:        1.798 us   |  handle_mm_fault();
 template_target-851439 [006] d..1. 1990798.411244: funcgraph_entry:        0.099 us   |  fpregs_assert_state_consistent();
 template_target-851439 [006] ...1. 1990798.411244: funcgraph_entry:        0.186 us   |  lock_vma_under_rcu();
 template_target-851439 [006] ...1. 1990798.411245: funcgraph_entry:        6.640 us   |  handle_mm_fault();
 template_target-851439 [006] d..1. 1990798.411252: funcgraph_entry:        0.098 us   |  fpregs_assert_state_consistent();
 template_target-851439 [006] ...1. 1990798.411252: funcgraph_entry:        0.189 us   |  lock_vma_under_rcu();
 template_target-851439 [006] ...1. 1990798.411253: funcgraph_entry:        0.569 us   |  handle_mm_fault();
 template_target-851439 [006] d..1. 1990798.411253: funcgraph_entry:        0.094 us   |  fpregs_assert_state_consistent();
 template_target-851439 [006] ...1. 1990798.411255: funcgraph_entry:        0.194 us   |  lock_vma_under_rcu();
 template_target-851439 [006] ...1. 1990798.411255: funcgraph_entry:        1.536 us   |  handle_mm_fault();
 template_target-851439 [006] d..1. 1990798.411257: funcgraph_entry:        0.095 us   |  fpregs_assert_state_consistent();
 template_target-851439 [006] ...1. 1990798.411259: funcgraph_entry:        0.221 us   |  lock_vma_under_rcu();
 template_target-851439 [006] ...1. 1990798.411259: funcgraph_entry:        1.955 us   |  handle_mm_fault();
 template_target-851439 [006] d..1. 1990798.411261: funcgraph_entry:        0.097 us   |  fpregs_assert_state_consistent();
 template_target-851439 [006] ...1. 1990798.411262: funcgraph_entry:        0.168 us   |  lock_vma_under_rcu();
 template_target-851439 [006] ...1. 1990798.411262: funcgraph_entry:        1.797 us   |  handle_mm_fault();
 template_target-851439 [006] d..1. 1990798.411264: funcgraph_entry:        0.112 us   |  fpregs_assert_state_consistent();
 template_target-851439 [006] ...1. 1990798.411265: funcgraph_entry:        1.144 us   |  __x64_sys_sched_getaffinity();
 template_target-851439 [006] d..1. 1990798.411266: funcgraph_entry:        0.092 us   |  fpregs_assert_state_consistent();
 template_target-851439 [006] ...1. 1990798.411267: funcgraph_entry:      + 16.448 us  |  __x64_sys_openat();
 template_target-851439 [006] d..1. 1990798.411283: funcgraph_entry:        0.117 us   |  fpregs_assert_state_consistent();
 template_target-851439 [006] d..1. 1990798.411285: funcgraph_entry:        0.176 us   |  irq_enter_rcu();
 template_target-851439 [006] d.h1. 1990798.411285: funcgraph_entry:        1.418 us   |  __sysvec_irq_work();
 template_target-851439 [006] d.h1. 1990798.411287: funcgraph_entry:        0.191 us   |  irq_exit_rcu();
 template_target-851439 [006] d..1. 1990798.411287: funcgraph_entry:        0.091 us   |  fpregs_assert_state_consistent();
 template_target-851439 [006] ...1. 1990798.411287: funcgraph_entry:        4.579 us   |  __x64_sys_read();
 template_target-851439 [006] d..1. 1990798.411292: funcgraph_entry:        0.101 us   |  fpregs_assert_state_consistent();
 template_target-851439 [006] ...1. 1990798.411292: funcgraph_entry:        3.209 us   |  __x64_sys_close();
 template_target-851439 [006] d..1. 1990798.411296: funcgraph_entry:        0.097 us   |  fpregs_assert_state_consistent();
 template_target-851439 [006] ...1. 1990798.411297: funcgraph_entry:        0.191 us   |  lock_vma_under_rcu();
 template_target-851439 [006] ...1. 1990798.411297: funcgraph_entry:        0.585 us   |  handle_mm_fault();
 template_target-851439 [006] d..1. 1990798.411298: funcgraph_entry:        0.097 us   |  fpregs_assert_state_consistent();
 template_target-851439 [006] ...1. 1990798.411298: funcgraph_entry:        0.175 us   |  lock_vma_under_rcu();
 template_target-851439 [006] ...1. 1990798.411298: funcgraph_entry:        2.894 us   |  handle_mm_fault();
 template_target-851439 [006] d..1. 1990798.411302: funcgraph_entry:        0.105 us   |  fpregs_assert_state_consistent();
 template_target-851439 [006] ...1. 1990798.411302: funcgraph_entry:        0.203 us   |  lock_vma_under_rcu();
 template_target-851439 [006] ...1. 1990798.411303: funcgraph_entry:        0.347 us   |  handle_mm_fault();
 template_target-851439 [006] ...1. 1990798.411303: funcgraph_entry:        0.229 us   |  lock_mm_and_find_vma();
 template_target-851439 [006] ...1. 1990798.411303: funcgraph_entry:        0.882 us   |  handle_mm_fault();
 template_target-851439 [006] ...1. 1990798.411305: funcgraph_entry:        0.104 us   |  up_read();
 template_target-851439 [006] d..1. 1990798.411305: funcgraph_entry:        0.094 us   |  fpregs_assert_state_consistent();
 template_target-851439 [006] ...1. 1990798.411306: funcgraph_entry:        0.188 us   |  lock_vma_under_rcu();
 template_target-851439 [006] ...1. 1990798.411307: funcgraph_entry:      + 22.365 us  |  handle_mm_fault();
 template_target-851439 [006] d..1. 1990798.411329: funcgraph_entry:        0.097 us   |  fpregs_assert_state_consistent();
 template_target-851439 [006] ...1. 1990798.411330: funcgraph_entry:        0.187 us   |  lock_vma_under_rcu();
 template_target-851439 [006] ...1. 1990798.411330: funcgraph_entry:        0.290 us   |  handle_mm_fault();
 template_target-851439 [006] ...1. 1990798.411331: funcgraph_entry:        0.219 us   |  lock_mm_and_find_vma();
 template_target-851439 [006] ...1. 1990798.411331: funcgraph_entry:        6.553 us   |  handle_mm_fault();
